URL,"ROOT DOMAIN",PR,"MOZ Rank",Authority,Alexa
http://www.theglobalcouple.com/trekking-kalaw-inle-lake-myanmar/,theglobalcouple.com,,2.57462718097,14.3167838884,1584355
sheltyinspain2.wordpress.com,wordpress.com,9,8.70337964659,100,31
http://adaysresolution.tumblr.com/,tumblr.com,8,8.57569246352,98.36519973,32
http://suitcaselioness.wordpress.com/2014/09/25/getting-to-know-cartagena-a-tale-of-mosquitos-ocean-breezes-and-carthagineses/,wordpress.com,9,8.70337964659,100,31
http://plusultrafurtherbeyond.blogspot.com.es/2014/09/ode-to-southern-spain.html,blogspot.com.es,,7.47521491996,59.4810748028,399
http://www.trevorhuxham.com/2014/07/albarracin-most-beautiful-village-in.html,trevorhuxham.com,2,3.50832512157,25.1450490051,1750475
https://europeanexplorations.wordpress.com/2014/11/23/how-to-survive-living-in-a-hostel-for-more-than-a-week/,wordpress.com,9,8.70337964659,100,31
http://www.livingthedreamrtw.com/2014/12/afraid-of-traveling-to-india-go-to-sri.html,livingthedreamrtw.com,4,4.65646114441,39.7610420807,191198
dinanooh.wordpress.com,wordpress.com,9,8.70337964659,100,31
www.annalisesadventure.blogspot.com,blogspot.com,9,8.73824836509,92.7655308649,18
http://sofiainspain.blogspot.com,blogspot.com,9,8.73824836509,92.7655308649,18
http://mollywide.blogspot.com.es/,blogspot.com.es,,7.47521491996,59.4810748028,399
wanderlustbridge.wordpress.com,wordpress.com,9,8.70337964659,100,31
http://www.travel-experience-live.com/crossing-north-sea-cargo-ship/,travel-experience-live.com,3,3.98531781409,32.8949051346,1421951
jakeinspain.wordpress.com,wordpress.com,9,8.70337964659,100,31
http://someliladventures.wordpress.com/europe/prague/,wordpress.com,9,8.70337964659,100,31
http://progressionofhappiness.com/beijing-trip-solo-doesnt-mean-alone/,progressionofhappiness.com,0,3.02442487338,19.996890358,2260766
http://www.adventuresaroundasia.com/2014/09/27/travel-in-china-without-speaking-chinese/,adventuresaroundasia.com,,3.55639570612,27.8254727561,677857
packlightly.wordpress.com,wordpress.com,9,8.70337964659,100,31
