Date,"Sites Acquired",Pending,"Pending TO Approved","Pending TO Accepted","Approved TO Pre QA","Approved TO Accepted","Content Sent","Email Sent","Email Open","Email Received"
"2013-12-13 23:00:00",2,1,0,0,2,0,0,0,4,2
"2013-12-14 23:00:00",0,0,0,0,0,0,0,0,1,1
"2013-12-15 23:00:00",28,77,31,5,19,13,36,40,27,9
"2013-12-16 23:00:00",25,55,42,1,23,18,44,70,37,16
"2013-12-17 23:00:00",10,52,32,2,20,12,27,58,41,11
"2013-12-18 23:00:00",12,92,26,8,27,9,12,45,36,10
"2013-12-19 23:00:00",8,20,32,0,15,5,9,54,33,11
"2013-12-20 23:00:00",0,0,0,0,1,0,0,0,1,1
"2013-12-21 23:00:00",2,0,0,0,0,0,0,7,8,6
"2013-12-22 23:00:00",10,27,22,3,19,7,22,39,29,11
"2013-12-23 23:00:00",1,3,0,1,0,0,0,6,8,5
"2013-12-24 23:00:00",0,0,0,0,1,0,0,27,9,4
"2013-12-25 23:00:00",5,7,2,0,6,2,4,52,28,6
"2013-12-26 23:00:00",3,11,3,1,5,2,10,59,27,10
"2013-12-27 23:00:00",10,12,0,1,1,0,1,48,12,3
"2013-12-28 23:00:00",3,1,0,0,0,0,0,2,4,2
"2013-12-29 23:00:00",11,34,40,1,11,14,6,79,37,5
"2013-12-30 23:00:00",1,0,0,0,1,0,0,8,13,6
"2013-12-31 23:00:00",0,0,0,0,0,2,0,0,2,0
"2014-01-01 23:00:00",10,41,17,3,12,21,20,19,21,8
"2014-01-02 23:00:00",22,49,23,8,17,12,14,58,31,11
"2014-01-03 23:00:00",0,0,0,0,0,0,0,0,1,1
"2014-01-04 23:00:00",0,0,0,0,0,0,0,3,1,1
"2014-01-05 23:00:00",17,64,33,6,30,19,30,72,37,13
"2014-01-06 23:00:00",18,52,42,0,16,23,20,49,42,18
"2014-01-07 23:00:00",14,57,21,4,21,26,15,82,42,15
"2014-01-08 23:00:00",11,103,41,7,14,19,19,30,18,6
"2014-01-09 23:00:00",21,54,23,3,21,17,28,29,21,14
"2014-01-10 23:00:00",0,0,23,0,0,0,0,2,2,3
"2014-01-11 23:00:00",2,9,0,0,0,0,0,4,4,1
"2014-01-12 23:00:00",16,83,92,5,12,10,20,56,35,9
"2014-01-13 23:00:00",11,67,31,4,13,16,17,53,44,11
"2014-01-14 23:00:00",21,105,57,10,21,17,14,46,47,12
"2014-01-15 23:00:00",11,89,51,6,12,19,18,24,18,4
"2014-01-16 23:00:00",8,40,14,7,16,10,37,16,17,4
"2014-01-17 23:00:00",1,2,20,0,0,0,1,11,6,3
"2014-01-18 23:00:00",1,0,0,0,0,0,0,10,4,0
"2014-01-19 23:00:00",8,22,12,0,6,1,5,10,12,4
"2014-01-20 23:00:00",19,96,40,5,29,23,55,54,29,6
"2014-01-21 23:00:00",0,0,0,0,0,0,0,0,0,0
"2014-01-22 23:00:00",0,0,0,0,0,0,0,0,0,0
"2014-01-23 23:00:00",0,0,0,0,0,0,0,0,0,0
"2014-01-24 23:00:00",0,0,0,0,0,0,0,0,0,0
"2014-01-25 23:00:00",0,0,0,0,0,0,0,0,0,0
"2014-01-26 23:00:00",0,0,0,0,0,0,0,0,0,0
"2014-01-27 23:00:00",0,0,0,0,0,0,0,0,0,0
"2014-01-28 23:00:00",0,0,0,0,0,0,0,0,0,0
"2014-01-29 23:00:00",0,0,0,0,0,0,0,0,0,0
